card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
FALSE,4,57,20000,0,0,TRUE,TRUE,0,36,0,44
FALSE,4,25,40000,0,0,FALSE,FALSE,0,36,1,32
FALSE,5,25,33000,0,0,TRUE,FALSE,1,75,1,23
FALSE,1,46,60000,0,0,TRUE,FALSE,2,84,1,46
FALSE,3,35,17000,0,0,TRUE,FALSE,3,135,0,25
FALSE,11,26,35000,0,0,FALSE,FALSE,0,14,0,27
FALSE,3,34,26700,0,0,FALSE,FALSE,0,51,1,25
FALSE,0,25,26400,0,0,FALSE,FALSE,0,24,1,33
TRUE,1,35,99999,0.009175491755,917.54,TRUE,FALSE,0,72,1,29
TRUE,2,26,70000,0.01845718571,1292.003,FALSE,TRUE,0,13,1,31
TRUE,0,28,24000,0.009473679167,227.3683,FALSE,FALSE,0,1,1,29
TRUE,0,32,100000,0.008317317,831.7317,TRUE,FALSE,3,7,1,28
TRUE,0,31,56965,0.0006681734398,38.0625,TRUE,TRUE,2,84,0,26
TRUE,3,43,67200,0.002619010417,175.9975,TRUE,FALSE,3,30,1,27
TRUE,0,24,30950,0.005821567044,180.1775,TRUE,FALSE,1,12,1,23
TRUE,0,39,24200,0.001411397934,34.15583,TRUE,FALSE,1,49,1,25
TRUE,0,35,41125,0.002460809726,101.2008,TRUE,FALSE,1,37,1,23
TRUE,0,43,24317,0.006710531727,163.18,FALSE,FALSE,2,18,1,28
TRUE,1,55,43000,0.00291817907,125.4817,TRUE,FALSE,0,6,1,31
TRUE,0,37,28000,0.01416071429,396.5,FALSE,FALSE,0,36,1,23
TRUE,0,37,50000,0.00377455,188.7275,TRUE,FALSE,4,36,1,25
TRUE,0,46,42000,0.0007249007143,30.44583,TRUE,FALSE,1,216,1,27
TRUE,0,30,25000,0.0050949,127.3725,TRUE,FALSE,1,24,1,23
TRUE,0,61,15000,0.02237083333,335.5625,TRUE,FALSE,1,372,1,24
FALSE,0,26,15000,0,0,FALSE,FALSE,0,8,1,0
